"Variable","Method","Horizon","IRF","Lower","Upper"
"Real oil price","Lag-Augmented LP (Smoothed)",0,3.31245144110478,2.807554140986,3.81734874122355
"Real oil price","Lag-Augmented LP (Smoothed)",1,7.7073466578592,6.33449753241557,9.08019578330283
"Real oil price","Lag-Augmented LP (Smoothed)",2,11.1249768904383,8.70491763196082,13.5450361489157
"Real oil price","Lag-Augmented LP (Smoothed)",3,11.1695351579448,8.11313356120286,14.2259367546868
"Real oil price","Lag-Augmented LP (Smoothed)",4,9.70812272382089,6.33034210616986,13.0859033414719
"Real oil price","Lag-Augmented LP (Smoothed)",5,8.44257228668412,4.70282928280563,12.1823152905626
"Real oil price","Lag-Augmented LP (Smoothed)",6,6.5754230891815,2.65405019485249,10.4967959835105
"Real oil price","Lag-Augmented LP (Smoothed)",7,5.32992155481455,1.49155277937953,9.16829033024956
"Real oil price","Lag-Augmented LP (Smoothed)",8,4.49962980735936,0.821930197002586,8.17732941771612
"Real oil price","Lag-Augmented LP (Smoothed)",9,4.43913151839929,0.721777212377202,8.15648582442137
"Real oil price","Lag-Augmented LP (Smoothed)",10,4.8204256427659,1.14657618856839,8.49427509696341
"Real oil price","Lag-Augmented LP (Smoothed)",11,4.74571441768051,1.32870460206693,8.16272423329409
"Real oil price","Lag-Augmented LP (Smoothed)",12,3.94185714039214,0.586742384754264,7.29697189603001
"Real oil price","Lag-Augmented LP (Smoothed)",13,2.45820323491689,-1.03416849754326,5.95057496737703
"Real oil price","Lag-Augmented LP (Smoothed)",14,1.22877924988768,-2.42791669544481,4.88547519522018
"Real oil price","Lag-Augmented LP (Smoothed)",15,0.217298869574757,-3.38539808439016,3.81999582353967
"Real oil price","Lag-Augmented LP (Smoothed)",16,-0.969245677718522,-4.56656998723746,2.62807863180042
"Real oil price","Lag-Augmented LP (Smoothed)",17,-1.65793499479676,-5.27953363592534,1.96366364633181
"Real oil price","Lag-Augmented LP (Smoothed)",18,-1.50197896721564,-5.27578444426373,2.27182650983245
"Real oil price","Lag-Augmented LP (Smoothed)",19,-0.872851704525231,-4.8767816197723,3.13107821072184
"Real oil price","Lag-Augmented LP (Smoothed)",20,-0.182231113403155,-4.46157855326635,4.09711632646004
"Real oil price","Lag-Augmented LP (Smoothed)",21,0.242621847403722,-4.24551470560994,4.73075840041738
"Real oil price","Lag-Augmented LP (Smoothed)",22,0.398847468254637,-4.23744152490652,5.03513646141579
"Real oil price","Lag-Augmented LP (Smoothed)",23,0.107256314916018,-4.60213262251884,4.81664525235088
"Real oil price","Lag-Augmented LP (Smoothed)",24,-0.535523651296863,-5.32802111381451,4.25697381122079
"Real oil price","Lag-Augmented LP (Smoothed)",25,-0.960721564339754,-5.90096777569663,3.97952464701713
"Real oil price","Lag-Augmented LP (Smoothed)",26,-1.77564302904322,-6.88648300893234,3.3351969508459
"Real oil price","Lag-Augmented LP (Smoothed)",27,-2.02930956693723,-7.39298537007427,3.33436623619981
"Real oil price","Lag-Augmented LP (Smoothed)",28,-2.00509862580985,-7.46740274483269,3.45720549321299
"Real oil price","Lag-Augmented LP (Smoothed)",29,-0.860197881293537,-6.38801491697562,4.66761915438854
"Real oil price","Lag-Augmented LP (Smoothed)",30,0.829157192728815,-4.69250385779971,6.35081824325734
"Real oil price","Lag-Augmented LP (Smoothed)",31,3.14019768093761,-2.28667548674015,8.56707084861536
"Real oil price","Lag-Augmented LP (Smoothed)",32,4.72748639637117,-0.525344993227463,9.98031778596981
"Real oil price","Lag-Augmented LP (Smoothed)",33,4.94848952054167,-0.222177976840099,10.1191570179234
"Real oil price","Lag-Augmented LP (Smoothed)",34,4.23969084490654,-0.747387029215592,9.22676871902867
"Real oil price","Lag-Augmented LP (Smoothed)",35,3.5453345579231,-1.25608135290027,8.34675046874647
"Real oil price","Lag-Augmented LP (Smoothed)",36,3.37964931162276,-1.19781150575369,7.95711012899921
"Real oil price","Lag-Augmented LP (Smoothed)",37,3.95474635332107,-0.409877565005496,8.31937027164764
"Real oil price","Lag-Augmented LP (Smoothed)",38,5.14690723074609,0.94845104762477,9.34536341386742
"Core CPI","Lag-Augmented LP (Smoothed)",0,0.0113058843862103,-0.00319633978771099,0.0258081085601317
