"date","ip","oilprice","coreCPI","vehicleMiles","gasolineCPI","unemp","population","year","month","oil_supply_surprise_series","oil_supply_news_shock"
1975-01-01,41.4676,11.16,52.3,NA,42.3,8.1,214998,1975,1,0,-0.335872093687563
1975-02-01,40.5165,11.16,52.8,NA,42.4,8.1,215132,1975,2,0,0.764941019245639
1975-03-01,40.0638,11.16,53,NA,42.5,8.6,215276,1975,3,0,-0.4159469506284
1975-04-01,40.1573,11.16,53.3,NA,43,8.8,215438,1975,4,0,-0.368402099131354
1975-05-01,40.0253,11.16,53.5,NA,43.8,9,215646,1975,5,0,-0.0807136925643989
1975-06-01,40.2772,11.16,53.8,NA,45.1,8.8,215871,1975,6,0,0.0394777803600036
1975-07-01,40.6994,11.16,54,NA,47,8.6,216084,1975,7,0,0.0187130649899911
1975-08-01,41.0998,11.16,54.2,NA,47.3,8.4,216294,1975,8,0,-0.54262511374097
1975-09-01,41.6304,11.16,54.5,NA,47.4,8.4,216490,1975,9,0,-0.258413446471878
1975-10-01,41.8135,11.16,54.8,NA,47.2,8.4,216679,1975,10,0,-1.00122668799388
1975-11-01,41.8697,11.16,55.2,NA,46.8,8.3,216851,1975,11,0,-0.00335216263205808
1975-12-01,42.4414,11.16,55.5,NA,46.6,8.2,217013,1975,12,0,-0.305537265040514
1976-01-01,43.0012,11.16,55.9,NA,46.5,7.9,217172,1976,1,0,-0.119521441375063
1976-02-01,43.4229,12.03,56.2,NA,46,7.7,217315,1976,2,0,-0.213669531683717
1976-03-01,43.5168,12.1,56.5,NA,45.4,7.6,217455,1976,3,0,-0.466458187322301
1976-04-01,43.7327,12.17,56.7,NA,45.2,7.7,217607,1976,4,0,-0.645696087236409
1976-05-01,43.9186,12.17,57,NA,45.9,7.4,217773,1976,5,0,-0.906661073171383
1976-06-01,43.9637,12.17,57.2,NA,47.1,7.6,217948,1976,6,0,0.281739247184441
1976-07-01,44.2141,12.17,57.6,NA,47.7,7.8,218134,1976,7,0,-0.289355398470902
1976-08-01,44.5182,12.17,57.9,NA,48,7.8,218337,1976,8,0,0.289886048548717
